"","player","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"941","Klay Thompson","Golden State Warriors","12/20/16",2016,2,8,13,"made shot","Jump Shot","2PT Field Goal",19,"Utah Jazz",141,134,16
"942","Klay Thompson","Golden State Warriors","2/27/17",2016,1,8,44,"made shot","Jump Shot","2PT Field Goal",20,"Philadelphia 76ers",-204,-21,4
"943","Klay Thompson","Golden State Warriors","1/20/17",2016,2,9,32,"made shot","Jump Shot","2PT Field Goal",21,"Houston Rockets",-212,16,15
"944","Klay Thompson","Golden State Warriors","11/16/16",2016,3,11,26,"made shot","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-150,224,25
"945","Klay Thompson","Golden State Warriors","11/16/16",2016,3,10,53,"made shot","Jump Shot","3PT Field Goal",24,"Toronto Raptors",240,36,26
"946","Klay Thompson","Golden State Warriors","11/16/16",2016,1,11,22,"missed shot","Jump Shot","3PT Field Goal",25,"Toronto Raptors",222,115,1
"947","Klay Thompson","Golden State Warriors","11/16/16",2016,3,8,55,"missed shot","Jump Shot","3PT Field Goal",23,"Toronto Raptors",232,26,28
"948","Klay Thompson","Golden State Warriors","11/16/16",2016,3,5,48,"made shot","Jump Shot","3PT Field Goal",26,"Toronto Raptors",230,134,31
"949","Klay Thompson","Golden State Warriors","11/16/16",2016,2,9,11,"missed shot","Jump Shot","3PT Field Goal",25,"Toronto Raptors",212,149,15
"950","Klay Thompson","Golden State Warriors","11/16/16",2016,3,9,7,"missed shot","Jump Shot","3PT Field Goal",27,"Toronto Raptors",-219,159,27
"951","Klay Thompson","Golden State Warriors","11/16/16",2016,3,4,46,"missed shot","Jump Shot","3PT Field Goal",23,"Toronto Raptors",230,7,32
"952","Klay Thompson","Golden State Warriors","11/16/16",2016,1,6,45,"missed shot","Jump Shot","3PT Field Goal",22,"Toronto Raptors",-228,2,6
"953","Klay Thompson","Golden State Warriors","11/16/16",2016,3,4,53,"missed shot","Jump Shot","2PT Field Goal",4,"Toronto Raptors",43,16,32
"954","Klay Thompson","Golden State Warriors","11/16/16",2016,1,4,3,"missed shot","Jump Shot","3PT Field Goal",22,"Toronto Raptors",227,-6,8
"955","Klay Thompson","Golden State Warriors","11/16/16",2016,3,9,49,"missed shot","Jump Shot","3PT Field Goal",26,"Toronto Raptors",112,237,27
"956","Klay Thompson","Golden State Warriors","11/21/16",2016,1,5,24,"missed shot","Jump Shot","3PT Field Goal",23,"Indiana Pacers",230,-15,7
"957","Klay Thompson","Golden State Warriors","11/21/16",2016,2,1,6,"missed shot","Jump Shot","2PT Field Goal",17,"Indiana Pacers",-171,-19,23
"958","Klay Thompson","Golden State Warriors","11/21/16",2016,3,10,24,"made shot","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-248,-21,26
"959","Klay Thompson","Golden State Warriors","2/27/17",2016,4,9,14,"made shot","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",213,129,39
"960","Klay Thompson","Golden State Warriors","1/20/17",2016,2,7,51,"missed shot","Jump Shot","3PT Field Goal",26,"Houston Rockets",-120,237,17
"961","Klay Thompson","Golden State Warriors","1/20/17",2016,2,3,6,"missed shot","Jump Shot","3PT Field Goal",24,"Houston Rockets",241,47,21
"962","Klay Thompson","Golden State Warriors","1/20/17",2016,2,7,22,"made shot","Jump Shot","3PT Field Goal",24,"Houston Rockets",240,23,17
"963","Klay Thompson","Golden State Warriors","1/20/17",2016,3,4,44,"made shot","Jump Shot","3PT Field Goal",23,"Houston Rockets",233,31,32
"964","Klay Thompson","Golden State Warriors","1/20/17",2016,1,9,16,"missed shot","Jump Shot","2PT Field Goal",3,"Houston Rockets",30,23,3
"965","Klay Thompson","Golden State Warriors","1/20/17",2016,2,0,47,"missed shot","Jump Shot","2PT Field Goal",7,"Houston Rockets",-7,75,24
"966","Klay Thompson","Golden State Warriors","1/20/17",2016,2,1,45,"missed shot","Jump Shot","3PT Field Goal",25,"Houston Rockets",210,139,23
"967","Klay Thompson","Golden State Warriors","2/28/17",2016,1,6,15,"made shot","Jump Shot","3PT Field Goal",23,"Washington Wizards",235,31,6
"968","Klay Thompson","Golden State Warriors","2/28/17",2016,1,5,59,"missed shot","Jump Shot","3PT Field Goal",28,"Washington Wizards",192,213,7
"969","Klay Thompson","Golden State Warriors","1/2/17",2016,3,4,6,"missed shot","Jump Shot","2PT Field Goal",13,"Denver Nuggets",60,124,32
"970","Klay Thompson","Golden State Warriors","1/2/17",2016,4,5,4,"made shot","Jump Shot","2PT Field Goal",15,"Denver Nuggets",0,159,43
"971","Klay Thompson","Golden State Warriors","1/2/17",2016,4,1,16,"missed shot","Jump Shot","2PT Field Goal",22,"Denver Nuggets",-156,169,47
"972","Klay Thompson","Golden State Warriors","1/2/17",2016,3,6,13,"missed shot","Jump Shot","3PT Field Goal",23,"Denver Nuggets",232,61,30
"973","Klay Thompson","Golden State Warriors","1/2/17",2016,2,4,27,"missed shot","Jump Shot","2PT Field Goal",8,"Denver Nuggets",-61,61,20
"974","Klay Thompson","Golden State Warriors","1/2/17",2016,1,9,24,"missed shot","Jump Shot","3PT Field Goal",25,"Denver Nuggets",107,232,3
"975","Klay Thompson","Golden State Warriors","1/2/17",2016,1,6,52,"missed shot","Jump Shot","2PT Field Goal",18,"Denver Nuggets",148,110,6
"976","Klay Thompson","Golden State Warriors","1/28/17",2016,1,7,9,"missed shot","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",4,185,5
"977","Klay Thompson","Golden State Warriors","2/28/17",2016,4,3,7,"missed shot","Jump Shot","3PT Field Goal",27,"Washington Wizards",199,183,45
"978","Klay Thompson","Golden State Warriors","1/28/17",2016,2,8,30,"made shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",151,214,16
"979","Klay Thompson","Golden State Warriors","1/28/17",2016,3,8,48,"missed shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",119,237,28
"980","Klay Thompson","Golden State Warriors","1/28/17",2016,3,10,51,"made shot","Jump Shot","2PT Field Goal",17,"Los Angeles Clippers",-150,90,26
"981","Klay Thompson","Golden State Warriors","1/28/17",2016,2,1,34,"made shot","Jump Shot","3PT Field Goal",22,"Los Angeles Clippers",-227,21,23
"982","Klay Thompson","Golden State Warriors","1/28/17",2016,2,7,58,"missed shot","Jump Shot","2PT Field Goal",14,"Los Angeles Clippers",100,100,17
"983","Klay Thompson","Golden State Warriors","2/27/17",2016,2,11,8,"made shot","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",-223,144,13
"984","Klay Thompson","Golden State Warriors","2/27/17",2016,3,5,34,"missed shot","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",4,254,31
"985","Klay Thompson","Golden State Warriors","2/27/17",2016,4,6,56,"missed shot","Jump Shot","2PT Field Goal",7,"Philadelphia 76ers",-74,-16,42
"986","Klay Thompson","Golden State Warriors","2/27/17",2016,2,0,6,"missed shot","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",151,218,24
"987","Klay Thompson","Golden State Warriors","2/27/17",2016,1,11,40,"missed shot","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",-248,31,1
"988","Klay Thompson","Golden State Warriors","2/27/17",2016,4,9,58,"missed shot","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",245,2,39
"989","Klay Thompson","Golden State Warriors","2/27/17",2016,2,0,45,"missed shot","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",240,33,24
"990","Klay Thompson","Golden State Warriors","2/27/17",2016,1,4,46,"missed shot","Jump Shot","2PT Field Goal",20,"Philadelphia 76ers",204,-19,8
"991","Klay Thompson","Golden State Warriors","2/28/17",2016,4,0,1,"missed shot","Jump Shot","3PT Field Goal",25,"Washington Wizards",-210,146,48
"992","Klay Thompson","Golden State Warriors","3/16/17",2016,4,10,54,"missed shot","Jump Shot","2PT Field Goal",10,"Orlando Magic",42,95,38
"993","Klay Thompson","Golden State Warriors","3/16/17",2016,2,2,37,"missed shot","Jump Shot","3PT Field Goal",28,"Orlando Magic",89,272,22
"994","Klay Thompson","Golden State Warriors","3/16/17",2016,1,3,24,"made shot","Jump Shot","3PT Field Goal",26,"Orlando Magic",132,228,9
"995","Klay Thompson","Golden State Warriors","3/16/17",2016,3,10,5,"made shot","Jump Shot","2PT Field Goal",12,"Orlando Magic",-60,110,26
"996","Klay Thompson","Golden State Warriors","3/16/17",2016,3,9,14,"missed shot","Jump Shot","3PT Field Goal",23,"Orlando Magic",-233,7,27
"997","Klay Thompson","Golden State Warriors","3/16/17",2016,1,11,22,"made shot","Jump Shot","3PT Field Goal",24,"Orlando Magic",125,208,1
"998","Klay Thompson","Golden State Warriors","3/16/17",2016,2,4,12,"made shot","Jump Shot","2PT Field Goal",21,"Orlando Magic",89,193,20
"999","Klay Thompson","Golden State Warriors","3/16/17",2016,1,8,53,"made shot","Jump Shot","2PT Field Goal",9,"Orlando Magic",12,95,4
"1000","Klay Thompson","Golden State Warriors","3/16/17",2016,1,2,42,"missed shot","Jump Shot","3PT Field Goal",25,"Orlando Magic",-1,252,10
"1001","Klay Thompson","Golden State Warriors","3/16/17",2016,2,6,19,"made shot","Jump Shot","2PT Field Goal",12,"Orlando Magic",-7,121,18
"1002","Klay Thompson","Golden State Warriors","3/16/17",2016,2,2,16,"missed shot","Jump Shot","2PT Field Goal",5,"Orlando Magic",22,51,22
"1003","Klay Thompson","Golden State Warriors","2/28/17",2016,4,7,39,"missed shot","Jump Shot","2PT Field Goal",14,"Washington Wizards",-32,144,41
"1004","Klay Thompson","Golden State Warriors","11/4/16",2016,4,9,24,"missed shot","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-176,183,39
"1005","Klay Thompson","Golden State Warriors","2/10/17",2016,3,5,46,"made shot","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",220,129,31
"1006","Klay Thompson","Golden State Warriors","2/10/17",2016,4,11,43,"made shot","Jump Shot","2PT Field Goal",20,"Memphis Grizzlies",-2,203,37
"1007","Klay Thompson","Golden State Warriors","2/28/17",2016,1,7,9,"made shot","Jump Shot","3PT Field Goal",25,"Washington Wizards",-104,237,5
"1008","Klay Thompson","Golden State Warriors","2/28/17",2016,3,11,22,"missed shot","Jump Shot","3PT Field Goal",23,"Washington Wizards",233,46,25
"1009","Klay Thompson","Golden State Warriors","2/28/17",2016,2,0,37,"made shot","Jump Shot","3PT Field Goal",26,"Washington Wizards",222,149,24
"1010","Klay Thompson","Golden State Warriors","2/28/17",2016,2,11,45,"missed shot","Jump Shot","3PT Field Goal",25,"Washington Wizards",222,126,13
"1011","Klay Thompson","Golden State Warriors","2/28/17",2016,1,2,36,"missed shot","Jump Shot","3PT Field Goal",31,"Washington Wizards",-66,311,10
"1012","Klay Thompson","Golden State Warriors","2/28/17",2016,4,9,15,"missed shot","Jump Shot","3PT Field Goal",25,"Washington Wizards",-68,247,39
"1013","Klay Thompson","Golden State Warriors","2/28/17",2016,4,9,48,"missed shot","Jump Shot","2PT Field Goal",17,"Washington Wizards",99,149,39
"1014","Klay Thompson","Golden State Warriors","2/28/17",2016,3,7,58,"missed shot","Jump Shot","3PT Field Goal",23,"Washington Wizards",233,31,29
"1015","Klay Thompson","Golden State Warriors","2/28/17",2016,2,9,0,"missed shot","Jump Shot","2PT Field Goal",4,"Washington Wizards",42,13,15
"1016","Klay Thompson","Golden State Warriors","2/28/17",2016,3,8,27,"missed shot","Jump Shot","3PT Field Goal",27,"Washington Wizards",91,264,28
"1017","Klay Thompson","Golden State Warriors","2/28/17",2016,2,3,41,"missed shot","Jump Shot","2PT Field Goal",15,"Washington Wizards",151,26,21
